2016-03-28 11:41:19,878 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-18122:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53761, localBroker= vm://Broker-two#18118
2016-03-28 11:41:19,878 | INFO  | Network connection between vm://Broker-two#18118 and tcp://localhost/127.0.0.1:61619@53761 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53761, localBroker= vm://Broker-two#18118
2016-03-28 11:41:19,879 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-609
2016-03-28 11:41:24,923 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 11:41:24,926 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-18124:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53763, localBroker= vm://Broker-two#18120
2016-03-28 11:41:24,927 | INFO  | Network connection between vm://Broker-two#18120 and tcp://localhost/127.0.0.1:61619@53763 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53763, localBroker= vm://Broker-two#18120
2016-03-28 11:41:24,928 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-596
2016-03-28 11:41:29,969 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 11:41:29,972 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-18126:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53765, localBroker= vm://Broker-two#18122
2016-03-28 11:41:29,972 | INFO  | Network connection between vm://Broker-two#18122 and tcp://localhost/127.0.0.1:61619@53765 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53765, localBroker= vm://Broker-two#18122
2016-03-28 11:41:29,974 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-609
